RecordID,SpeciesID,Order,Family,Genus,Species,Binomial,CommonName,CountryName,AreaName1,AreaName2,LocationDescription,Realm,Island,LandType,CPrecord,IntroducedDate,IntroducedDateGrouped,MappingDate,ReferenceDate,StatusCat,IntroMethod,IntroPurpose,TaxonomicNotes,Notes,RangeMap,Reference,CompilerInitial
415,369,Anseriformes,Anatidae,Branta,canadensis,Branta canadensis,Canada Goose,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1992 #243}",MP
416,373,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cereopsis novaehollandiae,Cape Barren Goose,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,DiedOut,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{del Hoyo, 1992 #243}",MP
427,420,Anseriformes,Anatidae,Anas,platyrhynchos,Anas platyrhynchos,Mallard,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1992 #243}",MP
452,104,Galliformes,Megapodiidae,Alectura,lathami,Alectura lathami,Australian Brush-turkey,NEW ZEALAND,North Island NZ,,Kaipara,Australasian,1,Oceanic.Island,1,,,1994.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1994 #239}",MP
462,132,Galliformes,Phasianidae,Alectoris,graeca,Alectoris graeca,Rock Partridge,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,MP - species a mix of a. chukar,,Not Mapped,"{del Hoyo, 1994 #239}",MP
466,368,Anseriformes,Anatidae,Branta,sandvicensis,Branta sandvicensis,Hawaiian Goose,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,1871,1871.0,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
472,381,Anseriformes,Anatidae,Alopochen,aegyptiaca,Alopochen aegyptiaca,Egyptian Goose,NEW ZEALAND,North Island NZ,Kawau Island,,Australasian,1,Oceanic.Island,1,1860,1860.0,1860.0,,Extirpated,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
475,381,Anseriformes,Anatidae,Alopochen,aegyptiaca,Alopochen aegyptiaca,Egyptian Goose,NEW ZEALAND,Hawke's Bay,,,Australasian,1,Oceanic.Island,1,1860,1860.0,1860.0,,Extirpated,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
477,394,Anseriformes,Anatidae,Cairina,moschata,Cairina moschata,Muscovy Duck,NEW ZEALAND,South Island NZ,Auckland Islands,Adams Island,Australasian,1,Oceanic.Island,1,1885,1885.0,1885.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
483,414,Anseriformes,Anatidae,Anas,penelope,Anas penelope,Eurasian Wigeon,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,1868,1868.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
484,456,Anseriformes,Anatidae,Aythya,ferina,Aythya ferina,Common Pochard,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,1,1894,1894.0,1894.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
485,464,Anseriformes,Anatidae,Aythya,fuligula,Aythya fuligula,Tufted Duck,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,1,1870,1870.0,1870.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
487,3611,Ciconiiformes,Ardeidae,Nycticorax,caledonicus,Nycticorax caledonicus,Rufous Night-heron,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,1,1852,1852.0,1852.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
510,137,Galliformes,Phasianidae,Alectoris,rufa,Alectoris rufa,Red-legged Partridge,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Unsuccessful,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{del Hoyo, 1994 #239}",MP
544,193,Galliformes,Phasianidae,Coturnix,ypsilophora,Coturnix ypsilophora,Brown Quail,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
559,235,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red Junglefowl,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
581,260,Galliformes,Phasianidae,Phasianus,colchicus,Phasianus colchicus,Common Pheasant,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
606,291,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Wild Turkey,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
615,305,Galliformes,Odontophoridae,Callipepla,californica,Callipepla californica,California Quail,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
622,9510,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Northern Bobwhite,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{del Hoyo, 1994 #239}",MP
683,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,North Island NZ,Kapiti Island,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1996 #234}",MP
684,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,Auckland,,Rakitu Island,Australasian,1,Oceanic.Island,1,,,1996.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
685,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,Bay of Plenty,,Mokoia Island,Australasian,1,Oceanic.Island,1,,,1996.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
686,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,North Island NZ,Kawau Island,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1996 #234}",MP
687,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,Chatham Islands,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1996 #234}",MP
689,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,South Island NZ,Solander Island,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1996 #234}",MP
690,2749,Gruiformes,Rallidae,Gallirallus,australis,Gallirallus australis,Weka,NEW ZEALAND,West Coast,,Taumaka Island,Australasian,1,Oceanic.Island,1,1900,1900.0,1900.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
693,9492,Gruiformes,Rallidae,Porphyrio,mantelli,Porphyrio mantelli,North Island Takahe,NEW ZEALAND,Auckland,,Tiritiri Matangi Island,Australasian,1,Oceanic.Island,1,1968,1968.0,1968.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
694,9492,Gruiformes,Rallidae,Porphyrio,mantelli,Porphyrio mantelli,North Island Takahe,NEW ZEALAND,North Island NZ,Kapiti Island,,Australasian,1,Oceanic.Island,1,1968,1968.0,1968.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
695,9492,Gruiformes,Rallidae,Porphyrio,mantelli,Porphyrio mantelli,North Island Takahe,NEW ZEALAND,North Island NZ,Mana Island,Mana Island,Australasian,1,Oceanic.Island,1,1968,1968.0,1968.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1996 #234}",MP
716,10,Struthioniformes,Apterygidae,Apteryx,haastii,Apteryx haastii,Great Spotted Kiwi,NEW ZEALAND,North Island NZ,Little Barrier Island,,Australasian,1,Oceanic.Island,0,,,1992.0,,Established,Unknown,Unknown.Not applicable,,,Mapped,"{del Hoyo, 1992 #243}",MP
728,291,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Wild Turkey,NEW ZEALAND,,,Islands,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1994 #239}",MP
747,2202,Strigiformes,Strigidae,Athene,noctua,Athene noctua,Little Owl,NEW ZEALAND,,,,Australasian,1,Oceanic.Island,0,,,,,Established,Unknown,Unknown.Not applicable,,,Not Mapped,"{del Hoyo, 1999 #233}",MP
860,295,Galliformes,Numididae,Numida,meleagris,Numida meleagris,Helmeted Guineafowl,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,1,1864,1864.0,1864.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
861,295,Galliformes,Numididae,Numida,meleagris,Numida meleagris,Helmeted Guineafowl,NEW ZEALAND,Kermadec Islands,Raoul,,Australasian,1,Oceanic.Island,1,1906,1906.0,1906.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
874,280,Galliformes,Phasianidae,Tetrao,tetrix,Tetrao tetrix,Black Grouse,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,1,1873,1873.0,1873.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
895,288,Galliformes,Phasianidae,Tympanuchus,phasianellus,Tympanuchus phasianellus,Sharp-tailed Grouse,NEW ZEALAND,Auckland,,Piako,Australasian,1,Oceanic.Island,1,1876,1876.0,1876.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
917,9510,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Northern Bobwhite,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,0,1898,1898.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{Long, 1981 #204}",MP
918,9510,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Northern Bobwhite,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,0,1898,1898.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{Long, 1981 #204}",MP
919,9510,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Northern Bobwhite,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,0,1898,1898.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{Long, 1981 #204}",MP
920,9510,Galliformes,Odontophoridae,Colinus,virginianus,Colinus virginianus,Northern Bobwhite,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,0,1898,1898.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,MP - Not yet established,Not Mapped,"{Long, 1981 #204}",MP
954,193,Galliformes,Phasianidae,Coturnix,ypsilophora,Coturnix ypsilophora,Brown Quail,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,1,1866,1866.0,1866.0,,Unknown,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
955,189,Galliformes,Phasianidae,Coturnix,pectoralis,Coturnix pectoralis,Stubble Quail,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,1,,,1871.0,1871.0,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
956,189,Galliformes,Phasianidae,Coturnix,pectoralis,Coturnix pectoralis,Stubble Quail,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,0,,,1871.0,1871.0,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
957,189,Galliformes,Phasianidae,Coturnix,pectoralis,Coturnix pectoralis,Stubble Quail,NEW ZEALAND,North Island NZ,,,Australasian,1,Oceanic.Island,0,1870,1870.0,1870.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
979,240,Galliformes,Phasianidae,Lophura,nycthemera,Lophura nycthemera,Silver Pheasant,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,1,1868,1868.0,1868.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
980,240,Galliformes,Phasianidae,Lophura,nycthemera,Lophura nycthemera,Silver Pheasant,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,1,1871,1871.0,1871.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1005,235,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red Junglefowl,NEW ZEALAND,South Island NZ,Auckland Islands,,Australasian,1,Oceanic.Island,1,1840,1840.0,1840.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1006,235,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red Junglefowl,NEW ZEALAND,,Campbell Islands,,Australasian,1,Oceanic.Island,1,1865,1865.0,1865.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1007,235,Galliformes,Phasianidae,Gallus,gallus,Gallus gallus,Red Junglefowl,NEW ZEALAND,North Island NZ,,,Australasian,1,Oceanic.Island,0,1814,1814.0,,,Unknown,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
1070,291,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Wild Turkey,NEW ZEALAND,Chatham Islands,,,Australasian,1,Oceanic.Island,1,,,1890.0,1890.0,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1084,3047,Charadriiformes,Charadriidae,Vanellus,vanellus,Vanellus vanellus,Northern Lapwing,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,1,1872,1872.0,1872.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1085,3047,Charadriiformes,Charadriidae,Vanellus,vanellus,Vanellus vanellus,Northern Lapwing,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,1,1873,1873.0,1873.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1086,3047,Charadriiformes,Charadriidae,Vanellus,vanellus,Vanellus vanellus,Northern Lapwing,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,1,1897,1897.0,1897.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1087,3047,Charadriiformes,Charadriidae,Vanellus,vanellus,Vanellus vanellus,Northern Lapwing,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,1,1904,1904.0,1904.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1088,3008,Charadriiformes,Charadriidae,Pluvialis,squatarola,Pluvialis squatarola,Grey Plover,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,1,1867,1867.0,1867.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1089,3005,Charadriiformes,Charadriidae,Pluvialis,apricaria,Pluvialis apricaria,Eurasian Golden Plover,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,1,1875,1875.0,1875.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1090,3005,Charadriiformes,Charadriidae,Pluvialis,apricaria,Pluvialis apricaria,Eurasian Golden Plover,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,1,1877,1877.0,1877.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1091,3005,Charadriiformes,Charadriidae,Pluvialis,apricaria,Pluvialis apricaria,Eurasian Golden Plover,NEW ZEALAND,Otago,,Dunedin District,Australasian,1,Oceanic.Island,1,1897,1897.0,1897.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1094,2857,Columbiformes,Pteroclididae,Pterocles,alchata,Pterocles alchata,Pin-tailed Sandgrouse,NEW ZEALAND,Otago,,Rock Pillar Range,Australasian,1,Oceanic.Island,1,1882,1882.0,1882.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1113,2419,Columbiformes,Columbidae,Streptopelia,decaocto,Streptopelia decaocto,Eurasian Collared-dove,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,0,1866,1866.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
1114,2419,Columbiformes,Columbidae,Streptopelia,decaocto,Streptopelia decaocto,Eurasian Collared-dove,NEW ZEALAND,Nelson,,,Australasian,1,Oceanic.Island,0,1867,1867.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
1115,2419,Columbiformes,Columbidae,Streptopelia,decaocto,Streptopelia decaocto,Eurasian Collared-dove,NEW ZEALAND,Auckland,,,Australasian,1,Oceanic.Island,0,1867,1867.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
1118,2422,Columbiformes,Columbidae,Streptopelia,bitorquata,Streptopelia bitorquata,Island Collared-dove,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,1,1875,1875.0,1875.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1139,2441,Columbiformes,Columbidae,Oena,capensis,Oena capensis,Namaqua Dove,NEW ZEALAND,North Island NZ,Kawau Island,,Australasian,1,Oceanic.Island,1,1860,1860.0,1860.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1141,2446,Columbiformes,Columbidae,Phaps,chalcoptera,Phaps chalcoptera,Common Bronzewing,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,1,1867,1867.0,1867.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1142,2446,Columbiformes,Columbidae,Phaps,chalcoptera,Phaps chalcoptera,Common Bronzewing,NEW ZEALAND,Otago,,,Australasian,1,Oceanic.Island,1,1867,1867.0,1867.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1143,2446,Columbiformes,Columbidae,Phaps,chalcoptera,Phaps chalcoptera,Common Bronzewing,NEW ZEALAND,Nelson,,,Australasian,1,Oceanic.Island,1,1867,1867.0,1867.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1144,2446,Columbiformes,Columbidae,Phaps,chalcoptera,Phaps chalcoptera,Common Bronzewing,NEW ZEALAND,North Island NZ,,Kaipara,Australasian,1,Oceanic.Island,1,1867,1867.0,1867.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1149,2449,Columbiformes,Columbidae,Ocyphaps,lophotes,Ocyphaps lophotes,Crested Pigeon,NEW ZEALAND,Wellington,,,Australasian,1,Oceanic.Island,1,1876,1876.0,1876.0,,Unsuccessful,Unknown,Unknown.Not applicable,,,Mapped,"{Long, 1981 #204}",MP
1150,2449,Columbiformes,Columbidae,Ocyphaps,lophotes,Ocyphaps lophotes,Crested Pigeon,NEW ZEALAND,Canterbury,,,Australasian,1,Oceanic.Island,0,1883,1883.0,,,Unsuccessful,Unknown,Unknown.Not applicable,,,Not Mapped,"{Long, 1981 #204}",MP
